match_id,map_id,map_name,team1_id,team1_name,team1_map_score,team2_id,team2_name,team2_map_score,map_winner_id,map_winner_name,round_difference
2396947,7,Inferno,11283,Falcons,13,5995,G2,6,11283,Falcons,7
2396947,4,Dust2,11283,Falcons,13,5995,G2,9,11283,Falcons,4
2396938,4,Dust2,11283,Falcons,13,12468,Legacy,6,11283,Falcons,7
2396938,3,Ancient,11283,Falcons,10,12468,Legacy,13,12468,Legacy,3
2396938,6,Mirage,11283,Falcons,13,12468,Legacy,6,11283,Falcons,7
2396930,7,Inferno,11283,Falcons,13,8840,Lynn Vision,4,11283,Falcons,9
2396930,4,Dust2,11283,Falcons,13,8840,Lynn Vision,9,11283,Falcons,4
2396930,3,Ancient,11283,Falcons,10,8840,Lynn Vision,13,8840,Lynn Vision,3
2396609,6,Mirage,11283,Falcons,7,12468,Legacy,13,12468,Legacy,6
2396609,4,Dust2,11283,Falcons,10,12468,Legacy,13,12468,Legacy,3
2396604,7,Inferno,11283,Falcons,13,6248,The MongolZ,3,11283,Falcons,10
2396604,4,Dust2,11283,Falcons,13,6248,The MongolZ,9,11283,Falcons,4
2396579,4,Dust2,11283,Falcons,13,6665,Astralis,11,11283,Falcons,2
2396579,3,Ancient,11283,Falcons,13,6665,Astralis,7,11283,Falcons,6
2396563,4,Dust2,11283,Falcons,13,12895,K27,6,11283,Falcons,7
2396005,1,Anubis,11283,Falcons,11,8474,100 Thieves,13,8474,100 Thieves,2
2396005,4,Dust2,11283,Falcons,7,8474,100 Thieves,13,8474,100 Thieves,6
2396005,5,Nuke,11283,Falcons,13,8474,100 Thieves,4,11283,Falcons,9
2395002,6,Mirage,11283,Falcons,13,8297,FURIA,8,11283,Falcons,5
2395002,7,Inferno,11283,Falcons,13,8297,FURIA,8,11283,Falcons,5
2395002,1,Anubis,11283,Falcons,13,8297,FURIA,8,11283,Falcons,5
2394999,1,Anubis,11283,Falcons,13,9565,Vitality,11,11283,Falcons,2
2394999,4,Dust2,11283,Falcons,13,9565,Vitality,11,11283,Falcons,2
2394999,7,Inferno,11283,Falcons,11,9565,Vitality,13,9565,Vitality,2
2394991,4,Dust2,11283,Falcons,13,4608,Natus Vincere,3,11283,Falcons,10
2394991,1,Anubis,11283,Falcons,19,4608,Natus Vincere,16,11283,Falcons,3
2394991,6,Mirage,11283,Falcons,7,4608,Natus Vincere,13,4608,Natus Vincere,6
2394975,3,Ancient,11283,Falcons,10,12394,BetBoom,13,12394,BetBoom,3
2394975,5,Nuke,11283,Falcons,11,12394,BetBoom,13,12394,BetBoom,2
2394899,3,Ancient,11283,Falcons,16,5995,G2,13,11283,Falcons,3
2394899,4,Dust2,11283,Falcons,13,5995,G2,8,11283,Falcons,5
2394899,7,Inferno,11283,Falcons,10,5995,G2,13,5995,G2,3
2394228,4,Dust2,11283,Falcons,6,12468,Legacy,13,12468,Legacy,7
2394228,6,Mirage,11283,Falcons,6,12468,Legacy,13,12468,Legacy,7
2394228,3,Ancient,11283,Falcons,9,12468,Legacy,13,12468,Legacy,4
2394228,5,Nuke,11283,Falcons,13,12468,Legacy,11,11283,Falcons,2
2394219,4,Dust2,11283,Falcons,13,12468,Legacy,7,11283,Falcons,6
2394219,3,Ancient,11283,Falcons,13,12468,Legacy,9,11283,Falcons,4
2394208,3,Ancient,11283,Falcons,13,12376,M80,11,11283,Falcons,2
2394208,7,Inferno,11283,Falcons,19,12376,M80,15,11283,Falcons,4
2394154,3,Ancient,11283,Falcons,13,13592,magic,7,11283,Falcons,6
2394154,4,Dust2,11283,Falcons,13,13592,magic,5,11283,Falcons,8
2394152,6,Mirage,11283,Falcons,9,8297,FURIA,13,8297,FURIA,4
2394152,4,Dust2,11283,Falcons,19,8297,FURIA,17,11283,Falcons,2
2394152,5,Nuke,11283,Falcons,22,8297,FURIA,20,11283,Falcons,2
2394142,4,Dust2,11283,Falcons,13,6248,The MongolZ,8,11283,Falcons,5
2394142,6,Mirage,11283,Falcons,16,6248,The MongolZ,12,11283,Falcons,4
2394142,7,Inferno,11283,Falcons,11,6248,The MongolZ,13,6248,The MongolZ,2
2394130,5,Nuke,11283,Falcons,8,9996,9z,13,9996,9z,5
2394130,4,Dust2,11283,Falcons,1,9996,9z,13,9996,9z,12
2394130,6,Mirage,11283,Falcons,13,9996,9z,9,11283,Falcons,4
2396934,4,Dust2,8297,FURIA,13,12376,M80,5,8297,FURIA,8
2396934,11,Cache,8297,FURIA,16,12376,M80,13,8297,FURIA,3
2396926,11,Cache,8297,FURIA,13,4773,paiN,6,8297,FURIA,7
2396926,6,Mirage,8297,FURIA,13,4773,paiN,2,8297,FURIA,11
2396607,3,Ancient,8297,FURIA,13,5995,G2,3,8297,FURIA,10
2396607,4,Dust2,8297,FURIA,13,5995,G2,4,8297,FURIA,9
2396607,1,Anubis,8297,FURIA,3,5995,G2,13,5995,G2,10
2396600,3,Ancient,8297,FURIA,13,11861,Aurora,11,8297,FURIA,2
2396600,6,Mirage,8297,FURIA,13,11861,Aurora,9,8297,FURIA,4
2396600,5,Nuke,8297,FURIA,14,11861,Aurora,16,11861,Aurora,2
