match_id,best_of,date,event,_source,team1_id,team1_name,team1_score,team1_rank,team2_id,team2_name,team2_score,team2_rank,winner_id,winner_name,team1_result,team2_result,score_difference
2396947,3,2026-09-04,BLAST Open Porto 2026,falcons.json,11283,Falcons,2,3,5995,G2,0,8,11283,Falcons,W,L,2
2396938,3,2026-08-29,BLAST Open Porto 2026,falcons.json,11283,Falcons,2,3,12468,Legacy,1,6,11283,Falcons,W,L,1
2396930,3,2026-08-27,BLAST Open Porto 2026,falcons.json,11283,Falcons,2,3,8840,Lynn Vision,1,41,11283,Falcons,W,L,1
2396609,3,2026-08-21,Esports World Cup 2026,falcons.json,11283,Falcons,0,3,12468,Legacy,2,6,12468,Legacy,L,W,2
2396604,3,2026-08-20,Esports World Cup 2026,falcons.json,11283,Falcons,2,3,6248,The MongolZ,0,19,11283,Falcons,W,L,2
2396579,3,2026-08-13,Esports World Cup 2026,falcons.json,11283,Falcons,2,3,6665,Astralis,0,20,11283,Falcons,W,L,2
2396563,1,2026-08-12,Esports World Cup 2026,falcons.json,11283,Falcons,13,3,12895,K27,6,34,11283,Falcons,W,L,7
2396005,3,2026-07-22,BLAST Bounty 2026 Season 2,falcons.json,11283,Falcons,1,3,8474,100 Thieves,2,29,8474,100 Thieves,L,W,1
2395002,5,2026-06-21,IEM Cologne Major 2026,falcons.json,11283,Falcons,3,3,8297,FURIA,0,7,11283,Falcons,W,L,3
2394999,3,2026-06-19,IEM Cologne Major 2026,falcons.json,11283,Falcons,2,3,9565,Vitality,1,4,11283,Falcons,W,L,1
2394991,3,2026-06-14,IEM Cologne Major 2026,falcons.json,11283,Falcons,2,3,4608,Natus Vincere,1,11,11283,Falcons,W,L,1
2394975,3,2026-06-12,IEM Cologne Major 2026,falcons.json,11283,Falcons,0,3,12394,BetBoom,2,14,12394,BetBoom,L,W,2
2394899,3,2026-06-11,IEM Cologne Major 2026,falcons.json,11283,Falcons,2,3,5995,G2,1,8,11283,Falcons,W,L,1
2394228,5,2026-05-24,CS Asia Championships 2026,falcons.json,11283,Falcons,1,3,12468,Legacy,3,6,12468,Legacy,L,W,2
2394219,3,2026-05-22,CS Asia Championships 2026,falcons.json,11283,Falcons,2,3,12468,Legacy,0,6,11283,Falcons,W,L,2
2394208,3,2026-05-20,CS Asia Championships 2026,falcons.json,11283,Falcons,2,3,12376,M80,0,40,11283,Falcons,W,L,2
2394154,3,2026-05-16,PGL Astana 2026,falcons.json,11283,Falcons,2,3,13592,magic,0,23,11283,Falcons,W,L,2
2394152,3,2026-05-15,PGL Astana 2026,falcons.json,11283,Falcons,2,3,8297,FURIA,1,7,11283,Falcons,W,L,1
2394142,3,2026-05-12,PGL Astana 2026,falcons.json,11283,Falcons,2,3,6248,The MongolZ,1,19,11283,Falcons,W,L,1
2394130,3,2026-05-10,PGL Astana 2026,falcons.json,11283,Falcons,1,3,9996,9z,2,9,9996,9z,L,W,1
